codigo_ine,nombre,provincia,ccaa,poblacion,superficie_km2,lat_centro,lon_centro,n_alojamientos_osm,n_vut_oficial,plazas_vut,n_vut_con_plazas,pct_vut_con_plazas,n_vut_geolocalizadas,pct_vut_geolocalizadas,plazas_hoteleras,n_establecimientos_hoteleros,origen_hotelero,n_restauracion,n_atracciones,n_camping,n_transporte,origen_osm,origen_vut,cobertura_vut,saturacion_plazas_1000hab,densidad_plazas_km2,plazas_totales,saturacion_total_1000hab,pct_plazas_hoteleras,n_servicios,densidad_servicios_km2,servicios_1000hab,dist_transporte_km,atracciones_1000hab,indice_demanda,indice_saturacion,indice_oportunidad,indice_riesgo
01030,Lagrán,Araba/Álava,País Vasco,177,48.4117,42.61869698888736,-2.6114506948690903,0,0.0,0.0,0.0,,0.0,,,,sin_dato,4,6,0,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,10,0.207,56.5,12.71,33.9,82.3,4.1,78.2,31.5
01031,Laguardia,Araba/Álava,País Vasco,1459,80.416,42.54850933780448,-2.5730692533354764,8,22.0,129.0,22.0,100.0,15.0,68.2,,,sin_dato,27,12,1,0,join_espacial,municipal_directo,registro,88.42,1.604,,,,39,0.485,26.73,14.4,8.22,78.9,67.8,11.1,71.7
01032,Lanciego/Lantziego,Araba/Álava,País Vasco,700,24.1684,42.54398367516247,-2.499841890011758,0,4.0,24.0,4.0,100.0,4.0,100.0,,,sin_dato,0,0,0,0,join_espacial,municipal_directo,registro,34.29,0.993,,,,0,0.0,0.0,10.37,0.0,19.2,51.8,-32.6,40.4
01033,Lapuebla de Labarca,Araba/Álava,País Vasco,895,5.9505,42.49468420360581,-2.5704457632472453,0,2.0,12.0,2.0,100.0,2.0,100.0,,,sin_dato,2,0,0,0,join_espacial,municipal_directo,registro,13.41,2.017,,,,2,0.336,2.23,10.91,0.0,45.4,45.5,-0.1,45.5
01034,Leza,Araba/Álava,País Vasco,205,9.7019,42.57130743312482,-2.6374890874863746,1,3.0,19.0,3.0,100.0,3.0,100.0,,,sin_dato,2,0,0,0,join_espacial,municipal_directo,registro,92.68,1.958,,,,2,0.206,9.76,17.07,0.0,53.1,69.7,-16.6,63.9
01036,Laudio/Llodio,Araba/Álava,País Vasco,18077,37.4123,43.13817862138481,-2.97751416321425,1,13.0,60.0,13.0,100.0,5.0,38.5,,,sin_dato,12,5,1,3,join_espacial,municipal_directo,registro,3.32,1.604,,,,17,0.454,0.94,0.87,0.28,57.5,32.4,25.1,41.2
01037,Arraia-Maeztu,Araba/Álava,País Vasco,812,122.7207,42.74904992558159,-2.445146701045139,2,4.0,24.0,4.0,100.0,2.0,50.0,,,sin_dato,6,7,0,0,join_espacial,municipal_directo,registro,29.56,0.196,,,,13,0.106,16.01,11.75,8.62,72.9,38.7,34.2,50.7
01039,Moreda de Álava/Moreda Araba,Araba/Álava,País Vasco,218,8.7778,42.52700033175815,-2.415331062450308,0,1.0,8.0,1.0,100.0,1.0,100.0,,,sin_dato,0,0,0,0,join_espacial,municipal_directo,registro,36.7,0.911,,,,0,0.0,0.0,7.82,0.0,21.2,52.3,-31.1,41.4
01041,Navaridas,Araba/Álava,País Vasco,192,8.9839,42.539560454593584,-2.6313567241954905,0,1.0,8.0,1.0,100.0,1.0,100.0,,,sin_dato,1,0,0,0,join_espacial,municipal_directo,registro,41.67,0.89,,,,1,0.111,5.21,14.96,0.0,46.0,53.4,-7.4,50.8
01042,Okondo,Araba/Álava,País Vasco,1184,30.5192,43.16821336540608,-3.017943531566954,0,0.0,0.0,0.0,,0.0,,,,sin_dato,5,0,0,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,5,0.164,4.22,4.24,0.0,54.1,4.1,50.0,21.6
01043,Oyón-Oion,Araba/Álava,País Vasco,3476,45.0545,42.54457945456228,-2.432803069371405,0,4.0,32.0,4.0,100.0,4.0,100.0,,,sin_dato,9,6,0,0,join_espacial,municipal_directo,registro,9.21,0.71,,,,15,0.333,4.32,9.45,1.73,63.6,33.4,30.2,44.0
01044,Peñacerrada-Urizaharra,Araba/Álava,País Vasco,332,57.2364,42.63798860407283,-2.705183258041957,0,0.0,0.0,0.0,,0.0,,,,sin_dato,2,1,1,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,3,0.052,9.04,9.56,3.01,64.1,4.1,60.0,25.1
